role,experience,skills,description,links
Data Scientist,5+ years of work experience in Data Science,"Statistical modeling, Causal inference, A/B testing, Offline evaluations, Metric validation, Regression, Classification, SQL, Python, PySpark","To achieve our ambitious goals, we’re looking for a Data Scientist to join our growing Data team and community. Data scientists on our team work closely with cross-functional partners in Product and Engineering to define and improve Grammarly’s core product experience.",https://example.com/portfolio/data-scientist
Backend Developer,4+ years of experience in backend systems and APIs,"Node.js, Express.js, MongoDB, PostgreSQL, RESTful APIs, Docker, Kubernetes, CI/CD",We’re seeking a Backend Developer to design scalable backend systems that power our user-facing applications and ensure high reliability across environments.,https://example.com/portfolio/backend-developer
Frontend Developer,3+ years of frontend development experience,"React, Redux, JavaScript, HTML5, CSS3, TypeScript, Webpack, Jest","We are looking for a Frontend Developer to build seamless, high-performance user interfaces that work across modern browsers and devices.",https://example.com/portfolio/frontend-developer
DevOps Engineer,5+ years working in cloud infrastructure and automation,"AWS, Terraform, Kubernetes, Jenkins, CI/CD Pipelines, Linux, Shell scripting","Join our DevOps team to improve system reliability, automate deployments, and optimize cloud infrastructure.",https://example.com/portfolio/devops-engineer
Machine Learning Engineer,4+ years of experience in machine learning development,"Python, TensorFlow, PyTorch, scikit-learn, MLflow, Data preprocessing, Model tuning","We’re hiring an ML Engineer to deploy and optimize models across a wide range of NLP and CV tasks, working with massive data sets.",https://example.com/portfolio/machine-learning-engineer
Cybersecurity Engineer,5+ years of experience in securing infrastructure and applications,"Network Security, OWASP Top 10, Penetration Testing, SIEM, Firewalls, Python, Nmap","We’re looking for a Cybersecurity Engineer to fortify our systems, prevent breaches, and proactively hunt threats.",https://example.com/portfolio/cybersecurity-engineer
Cloud Engineer,4+ years working with cloud services and infrastructure-as-code,"Azure, AWS, Google Cloud Platform, Terraform, CloudFormation, Monitoring tools","Looking for a Cloud Engineer to design, deploy, and monitor multi-cloud solutions across high-availability systems.",https://example.com/portfolio/cloud-engineer
Mobile Developer,3+ years developing Android/iOS apps,"Flutter, React Native, Swift, Kotlin, Dart, App Store Deployment, Firebase","As a Mobile Developer, you’ll lead the development of beautiful and responsive mobile apps used by thousands of users daily.",https://example.com/portfolio/mobile-developer
AI Researcher,6+ years of experience in AI research or academic work,"Deep Learning, Reinforcement Learning, NLP, Transformers, GPT, Paperspace, Hugging Face","Join our AI Research Lab to publish cutting-edge work, prototype new architectures, and collaborate on production-ready models.",https://example.com/portfolio/ai-researcher
Full Stack Developer,5+ years of experience across frontend and backend stacks,"JavaScript, React, Node.js, SQL, MongoDB, GraphQL, Docker, CI/CD","We’re hiring a Full Stack Developer to lead end-to-end implementation of web applications and contribute to design, code, and deploy features.",https://example.com/portfolio/full-stack-developer